Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w,TrashPickup.velocity.x,TrashPickup.velocity.y,TrashPickup.velocity.z,Velocity_abs,Distance,Velocity_rel,Acceleration,Released,Moving,Freefall,Passed
1651820411.5799425,0.9280217736959456,-1.7067474722862244,0.2125412128865718,0.7042992919683456,0.1165761679410933,0.156738694757223,-0.682481050491333,0.1208001747727393,-2.4837422370910645,0.041900710761547,0.0052199607482179,0.0037015664973295,0.707892683148384,-0.7062909126281738,0.9242171794176102,-1.7293975830078123,0.4181737914681435,-0.6893126189708709,-0.0401361046358942,0.7233313322067261,-0.0002141083590686,-0.0008022785186634351,-0.010505318641640393,-0.026105195283882,0.02815113836763126,0.2069112365905467,-0.00010370168778606192,0.00046520158176122095,-10,-10,-10,-10
1651820411.5899425,0.9281008392572404,-1.7069626867771148,0.2122481182217597,0.7046029806137085,0.1168812360614537,0.156754571199417,-0.682116585969925,0.12080759704113,-2.4837419629096984,0.0418987495824694,0.0052288335515185,0.0036888431757688,0.7078864246606826,-0.706297191977501,0.9242091566324234,-1.7295026361942292,0.4179127395153045,-0.689376226067543,-0.0402166325598954,0.7232661306858063,-0.0005988882272504,-0.0008022785186745374,-0.010505318641684802,-0.026105195283898652,0.028151138367663593,0.20693267254156744,-4.4919717689717586e-05,0.0006027833572941343,-10,-10,-10,-10
1651820411.5999424,0.9281799048185349,-1.7071779012680053,0.2119550235569476,0.7049066692590713,0.1171863041818141,0.156770447641611,-0.6817521214485168,0.1208150193095206,-2.4837416887283323,0.0418967884033917,0.0052377063548192,0.003676119854208,0.7078801661729812,-0.706303471326828,0.9242011338472368,-1.7296076893806458,0.4176516875624657,-0.6894398331642151,-0.0402971604838966,0.7232009291648864,-0.0009836680954322,-0.0008022785186634351,-0.010505318641662598,-0.026105195283882,0.02815113836763955,0.20695420651974916,1.2411746287188663e-05,0.0004185027527079388,-10,-10,-10,-10
1651820411.6099424,0.9283137172460556,-1.7072418987751008,0.2117519356310367,0.7049234181642532,0.1172194555401801,0.1570000864565372,-0.6816756844520568,0.1208085063844918,-2.483741629123688,0.0418907728046178,0.0052593975560739,0.0036452329135499,0.707885953783989,-0.7062976807355881,0.9242335855960846,-1.729664933681488,0.4173861041665077,-0.6895744293928147,-0.0402946610003709,0.7230729103088379,-0.0012595677457283,0.0032451748847805995,-0.005724430084219634,-0.02655833959580023,0.027361389984936438,0.20689333299545598,1.2256284476430679e-05,-9.621404717119475e-05,-10,-10,-10,-10
1651820411.6199424,0.9284475296735764,-1.707305896282196,0.2115488477051257,0.7049401670694351,0.1172526068985461,0.1572297252714633,-0.681599247455597,0.1207986783236264,-2.483740746974945,0.0418811306357383,0.0052565164631232,0.0036318065132945,0.7078945428133011,-0.7062891662120819,0.9243256211280824,-1.7296172201633453,0.4172222957015037,-0.6896886616945267,-0.0406043218448757,0.7229484766721725,-0.0015998058835975,0.009203553199776948,0.0047713518142700195,-0.01638084650039673,0.019385647312025,0.2069211263117079,2.830304613565815e-06,-0.00043470565475645095,-10,-10,-10,-10
1651820411.6299424,0.9286080837249756,-1.7073253273963929,0.2113532818853854,0.704948115348816,0.1173602242022752,0.1574410207569598,-0.6815234363079071,0.120788850262761,-2.4837398648262026,0.0418714884668588,0.0052536353701725,0.0036183801130391,0.7079031318426132,-0.7062806516885758,0.92441765666008,-1.7295695066452026,0.4170584872364998,-0.6898028939962387,-0.0409139826893806,0.7228240430355072,-0.0019400440214667,0.009203553199765846,0.0047713518142700195,-0.016380846500391177,0.019385647312015038,0.2069468402705959,5.262607734990432e-05,-0.00014433680180392372,-10,-10,-10,-10
1651820411.6399424,0.9287506490945816,-1.7072983980178833,0.2111841224133968,0.7048882752656936,0.1176105070859193,0.1575885660946368,-0.6815074652433395,0.1207790222018956,-2.48373898267746,0.0418618462979792,0.0052507542772218,0.0036049537127837,0.7079117208719253,-0.7062721371650695,0.9245096921920776,-1.72952179312706,0.4168946787714958,-0.6899171262979508,-0.0412236435338854,0.7226996093988418,-0.0022802821593358,0.009203553199754744,0.0047713518142700195,-0.01638084650040228,0.01938564731201915,0.20695095554934287,-9.526521929803522e-05,0.0004291357928425388,-10,-10,-10,-10
1651820411.6499424,0.928929764032364,-1.7071230947971343,0.2111173376441001,0.7047114938497543,0.1177224174141883,0.1579103261232375,-0.6815963357686996,0.1207691941410302,-2.483738100528717,0.0418522041290997,0.0052478731842711,0.0035915273125282,0.7079203099012374,-0.7062636226415634,0.9245832204818726,-1.7294398367404935,0.4167551711201668,-0.6900190353393555,-0.0416240541264414,0.722581684589386,-0.0026511733653023,0.007352828979501069,0.008195638656638415,-0.013950765132897391,0.017772350288727774,0.2068909083757267,-0.0003535996578079015,0.0010037647862808363,-10,-10,-10,-10
1651820411.6599424,0.9291113793849946,-1.7069322109222411,0.2110651493072509,0.7045153468847275,0.1178261335939168,0.1582428790628909,-0.6817042678594589,0.1207417339086532,-2.4837364315986634,0.0418412797152995,0.0052522337995469,0.0035675503895617,0.7079440116882324,-0.7062399446964264,0.9245053619146348,-1.729322898387909,0.4167040526866913,-0.69007768034935,-0.0420871205627917,0.7225013673305511,-0.0030471618520095,-0.007785856723774298,0.0116938352584528,-0.0051118433475494385,0.014949792319121386,0.20690557475626728,-0.00016242022971257875,-8.925346820931601e-05,-10,-10,-10,-10
1651820411.6699424,0.9292929947376252,-1.706741327047348,0.2110129609704017,0.7043191999197006,0.1179298497736453,0.1585754320025443,-0.6818121999502182,0.1207288365811108,-2.483735358715057,0.0418357847258448,0.0052363916067406,0.0035737490397877,0.7079556673765183,-0.7062283486127854,0.9244251370429992,-1.729144489765167,0.4167460501194,-0.6901845782995224,-0.0421909751370548,0.722393348813057,-0.0030253931414335,-0.008022487163561465,0.017840862274187685,0.004199743270871803,0.020007361408173614,0.20700652576449347,0.0004495269227020593,-0.0037634003760183,-10,-10,-10,-10
